S_No,Airline_ID,Airline_Name,Flight_No,Seats_Available,From,To,Departure,Arrival,Duration,Stops,Price,Day,Month,Year
1,243,Indigo,6E HE1271,278,New Delhi,Agartala (IXA),12-04-2023 18:15,12-04-2023 23:30,5h30m,0,Rs. 12000 ,1,1,2023
2,243,Indigo,6E ME2971,171,New Delhi,Agra (AGR),13-03-2023 04:00,13-03-2023 14:30,10h30m,0,Rs. 13500 ,2,1,2023
3,243,Indigo,6E JJ1711,32,New Delhi,Ahmedabad (AMD),10-12-2023 12:00,10-12-2023 14:00,2h30m,1,Rs. 14000 ,3,1,2023
4,243,Indigo,6E KT9271,78,Kolkata,Aizawl (AJL),21-09-2023 09:35,21-09-2023 02:35,5h00m,0,Rs. 8000 ,4,1,2023
5,243,Indigo,6E LU0271,218,Chennai,Amritsar (ATQ),18-11-2023 22:45,18-11-2023 13:15,2h30m,0,Rs. 19000 ,5,1,2023
6,243,Indigo,6E AM9821,188,Hyderabad,Aurangabad (IXU),17-08-2023 15:15,17-08-2023 19:45,4h30m,0,Rs. 5000 ,6,1,2023
7,243,Indigo,6E HS1101,103,Goa,Bagdogra (IXB),29-10-2023 15:15,29-10-2023 18:15,3h00m,0,Rs. 16900 ,7,1,2023
8,243,Indigo,6E AB2701,69,Nagpur,Bareilly (BEK),02-09-2023 08:15,02-09-2023 00:30,4h15m,0,Rs. 6800 ,8,1,2023
9,243,Indigo,6E OF9271,420,Nashik,Belagavi (IXG),12-08-2023 11:05,12-08-2023 18:35,7h30m,0,Rs. 7500 ,9,1,2023
10,420,GoAir,G8 HE1271,278,New Delhi,Bengaluru (BLR),09-04-2023 18:15,09-04-2023 23:30,5h30m,0,Rs. 12000 ,10,1,2023
11,420,GoAir,G8 ME2971,171,New Delhi,Bhopal (BHO),19-03-2023 04:00,19-03-2023 14:30,10h30m,0,Rs. 13500 ,11,1,2023
12,420,GoAir,G8 JJ1711,32,New Delhi,Bhubaneswar (BBI),18-12-2023 12:00,18-12-2023 14:00,2h30m,1,Rs. 14000 ,12,1,2023
13,420,GoAir,G8 KT9271,78,Kolkata,Chandigarh (IXC),04-09-2023 09:35,04-09-2023 02:35,5h00m,0,Rs. 8000 ,13,1,2023
14,420,GoAir,G8 LU0271,218,Chennai,Chennai (MAA),10-11-2023 22:45,10-11-2023 13:15,2h30m,0,Rs. 19000 ,14,1,2023
15,420,GoAir,G8 AM9821,188,Hyderabad,Coimbatore (CJB),11-08-2023 15:15,11-08-2023 19:45,4h30m,0,Rs. 5000 ,15,1,2023
16,420,GoAir,G8 HS1101,103,Goa,Darbhanga (DBR),21-10-2023 15:15,21-10-2023 18:15,3h00m,0,Rs. 16900 ,16,1,2023
17,420,GoAir,G8 AB2701,69,Nagpur,Dehradun (DED),12-09-2023 08:15,12-09-2023 00:30,4h15m,0,Rs. 6800 ,17,1,2023
18,420,GoAir,G8 OF9271,420,Nashik,Delhi (DEL),22-08-2023 11:05,22-08-2023 18:35,7h30m,0,Rs. 7500 ,18,1,2023
19,420,GoAir,G8 HE1271,141,New Delhi,Deoghar (DGH),02-04-2023 18:15,02-04-2023 23:30,5h30m,0,Rs. 12000 ,19,1,2023
20,169,AirIndia,AI HE1271,278,New Delhi,Dibrugarh (DIB),13-04-2023 18:15,13-04-2023 23:30,5h30m,0,Rs. 12000 ,20,1,2023
21,169,AirIndia,AI HE1271,171,New Delhi,Dimapur (DMU),15-03-2023 04:00,15-03-2023 14:30,10h30m,0,Rs. 13500 ,21,1,2023
